Discurso,Palavra,Frequência,Sentimento Positivo,Sentimento Neutro,Sentimento Negativo,Sentimento Composto
Discurso Lula,brasil,23,0.007,0.972,0.02,-0.9881
Discurso Lula,presidente,19,0.007,0.972,0.02,-0.9881
Discurso Lula,país,19,0.007,0.972,0.02,-0.9881
Discurso Lula,república,18,0.007,0.972,0.02,-0.9881
Discurso Lula,nacional,18,0.007,0.972,0.02,-0.9881
Discurso Lula,social,16,0.007,0.972,0.02,-0.9881
Discurso Lula,desenvolvimento,14,0.007,0.972,0.02,-0.9881
Discurso Lula,discurso,13,0.007,0.972,0.02,-0.9881
Discurso Lula,presidência,13,0.007,0.972,0.02,-0.9881
Discurso Lula,repúbl,13,0.007,0.972,0.02,-0.9881
Discurso Bolsonaro,brasil,13,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,nacional,8,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,senhoras,6,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,senhores,6,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,deus,6,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,presidente,5,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,república,5,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,estado,5,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,aqui,5,0.007,0.98,0.013,-0.7326
Discurso Bolsonaro,brasileiros,5,0.007,0.98,0.013,-0.7326
Discurso Dilma,país,22,0.005,0.97,0.024,-0.9936
Discurso Dilma,governo,20,0.005,0.97,0.024,-0.9936
Discurso Dilma,todos,20,0.005,0.97,0.024,-0.9936
Discurso Dilma,brasileiros,17,0.005,0.97,0.024,-0.9936
Discurso Dilma,brasil,17,0.005,0.97,0.024,-0.9936
Discurso Dilma,brasileiras,16,0.005,0.97,0.024,-0.9936
Discurso Dilma,vida,14,0.005,0.97,0.024,-0.9936
Discurso Dilma,presidente,13,0.005,0.97,0.024,-0.9936
Discurso Dilma,povo,13,0.005,0.97,0.024,-0.9936
Discurso Dilma,queridos,12,0.005,0.97,0.024,-0.9936
